uid,votes_2,votes_num,votes_3,votes_1,votes_mean,votes_4,votes_std,likes_num,likes_mean,likes_std,likes_sum,dislikes_num,dislikes_std,dislikes_sum,dislikes_mean,com_std,com_num,com_mean,com_sum
4_73,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_78,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_80,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_82,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_85,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_86,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_88,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_90,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_92,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_93,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_98,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_101,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_103,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_110,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_112,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_117,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_129,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_130,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_132,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_141,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_143,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_146,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_147,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_148,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_149,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_151,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_153,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_156,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_157,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_158,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_162,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_165,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_171,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_173,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_174,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_177,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
4_181,3036.0,21888.0,6931.0,5501.0,2.651955409356725,6420.0,1.1472760564602207,3770.0,8.476657824933687,6.80927772750014,31957.0,3770.0,2.684909487987141,6101.0,1.6183023872679045,149.3865579926962,3748.0,119.8991462113127,449382.0
