uid,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid
11_262,7,12,3.4166666666666665,0,0.5149286505444373,0,5,5.333333333333333,16.0,3.0,2.516611478423583,0.0,0.0,3.0,0.0,3.0,66.46302230062467,289.0,96.33333333333333,11
11_266,52,69,2.927536231884058,11,0.49464308522022316,0,6,7.0,7.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,83.0,83.0,11
11_268,2,71,3.971830985915493,0,0.1666331287517145,0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_269,0,77,4.0,0,0.0,0,77,6.36,159.0,25.0,2.706165799305973,1.173314393786536,18.0,25.0,0.72,25.0,23.960036171369474,945.0,37.8,11
11_271,3,109,3.541284403669725,4,1.023176879930773,13,89,8.052631578947368,153.0,19.0,5.920526292395581,1.806421294919001,28.0,19.0,1.4736842105263157,19.0,157.76933714347047,1996.0,105.05263157894737,11
11_272,0,96,3.96875,0,0.30618621784789724,1,95,8.741935483870968,271.0,31.0,3.4829847538711576,1.6467628721188876,43.0,31.0,1.3870967741935485,31.0,32.96935690339828,1383.0,44.61290322580645,11
11_273,14,89,3.8202247191011236,1,0.41455884966620565,0,74,6.8,578.0,85.0,5.133457017681258,1.2960833047196887,56.0,85.0,0.6588235294117647,85.0,80.27076378238394,6674.0,78.51764705882353,11
11_274,0,121,4.0,0,0.0,0,121,8.285714285714286,58.0,7.0,4.644505202002531,2.6095064302514777,8.0,7.0,1.1428571428571428,7.0,47.160819088973184,407.0,58.142857142857146,11
11_276,0,126,4.0,0,0.0,0,126,8.0,184.0,23.0,4.379705261980329,0.8504823091062899,18.0,23.0,0.782608695652174,23.0,34.709579955848824,1337.0,58.130434782608695,11
11_28,39,101,3.495049504950495,6,0.6103075024319733,0,56,3.909090909090909,43.0,11.0,3.7803318757629056,0.30151134457776363,1.0,11.0,0.09090909090909091,11.0,16.602847510428607,301.0,27.363636363636363,11
11_280,0,89,4.0,0,0.0,0,89,7.913043478260869,182.0,23.0,4.357992067645383,2.0737394380483276,26.0,23.0,1.1304347826086956,23.0,91.94793594693242,1269.0,55.17391304347826,11
11_282,0,94,4.0,0,0.0,0,94,4.666666666666667,14.0,3.0,3.2145502536643185,1.0,3.0,3.0,1.0,3.0,9.60902353693305,53.0,17.666666666666668,11
11_290,31,132,1.7878787878787878,0,1.1326541351072783,87,14,9.0,90.0,10.0,5.0990195135927845,4.083843505544474,27.0,10.0,2.7,10.0,78.7644166697966,835.0,83.5,11
11_291,70,168,3.107142857142857,16,0.9288181550219473,16,66,11.741935483870968,364.0,31.0,8.918025722978092,5.335013176309673,157.0,31.0,5.064516129032258,31.0,202.0019588960698,8013.0,258.48387096774195,11
11_296,8,57,3.5789473684210527,5,0.8006106691826071,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_297,36,51,3.215686274509804,2,0.5025425550218038,0,13,26.0,26.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,292.0,292.0,11
11_298,110,117,3.0085470085470085,3,0.2455018258140725,0,4,5.181818181818182,57.0,11.0,3.709937514788674,3.1622776601683795,44.0,11.0,4.0,11.0,58.78156792118365,511.0,46.45454545454545,11
11_305,32,156,2.198717948717949,114,0.5378556203303319,7,3,5.0,35.0,7.0,2.581988897471611,1.4638501094227998,8.0,7.0,1.1428571428571428,7.0,80.3507193199793,464.0,66.28571428571429,11
11_307,17,62,3.5161290322580645,5,0.7184212081070991,1,39,7.372093023255814,317.0,43.0,4.4935046022217735,2.256527384301348,50.0,43.0,1.1627906976744187,43.0,69.64104293857564,3848.0,89.48837209302326,11
11_308,101,149,2.791946308724832,35,0.5844282003994092,3,10,3.8222222222222224,172.0,45.0,3.6010660598879265,1.9140627898886609,54.0,45.0,1.2,45.0,26.944068517631642,1192.0,26.488888888888887,11
11_309,27,69,3.4782608695652173,3,0.6554902891588753,1,38,8.6,86.0,10.0,6.719788356455549,0.7888106377466155,8.0,10.0,0.8,10.0,35.169589136070385,447.0,44.7,11
11_310,1,115,2.008695652173913,114,0.09325048082403134,0,0,3.75,15.0,4.0,1.5,1.9148542155126762,6.0,4.0,1.5,4.0,22.647663602823727,169.0,42.25,11
11_312,74,117,2.9316239316239314,24,0.625968156710421,1,18,12.23076923076923,159.0,13.0,6.456958083517942,2.3669736167866557,33.0,13.0,2.5384615384615383,13.0,92.19315008761184,1548.0,119.07692307692308,11
11_325,13,22,3.0454545454545454,1,0.8438727464026862,2,6,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,33.0,11
11_326,0,65,4.0,0,0.0,0,65,12.931034482758621,375.0,29.0,8.353489580848228,2.2759180467813476,46.0,29.0,1.5862068965517242,29.0,185.7224278245477,5306.0,182.9655172413793,11
11_328,7,132,3.25,7,1.219278976023964,26,92,6.0,24.0,4.0,2.0,3.5,55.0,4.0,13.75,4.0,75.92704832052058,773.0,193.25,11
11_33,1,187,3.9946524064171123,0,0.07312724241271307,0,186,5.513513513513513,204.0,37.0,3.761069747511424,0.8025859107560663,20.0,37.0,0.5405405405405406,37.0,23.34002478055147,1795.0,48.513513513513516,11
11_331,15,20,2.85,4,0.4893604849295929,0,1,8.5,17.0,2.0,9.192388155425117,5.656854249492381,14.0,2.0,7.0,2.0,264.45793616376875,514.0,257.0,11
11_34,31,295,2.23728813559322,48,1.2849069297252744,131,85,7.4375,357.0,48.0,5.7275231362776475,2.244674548745816,99.0,48.0,2.0625,48.0,78.03190552678974,3305.0,68.85416666666667,11
11_340,2,156,3.948717948717949,3,0.29610093734252124,0,151,5.0,10.0,2.0,0.0,1.4142135623730951,2.0,2.0,1.0,2.0,29.698484809834994,76.0,38.0,11
11_346,7,40,3.825,0,0.3848076442547927,0,33,4.333333333333333,104.0,24.0,3.6673253690283385,0.7223151185146152,12.0,24.0,0.5,24.0,25.586702558674634,1311.0,54.625,11
11_351,1,74,3.9864864864864864,0,0.11624763874381948,0,73,9.0,36.0,4.0,7.393691004272944,0.5773502691896257,2.0,4.0,0.5,4.0,50.51979809935903,285.0,71.25,11
11_353,2,47,3.9574468085106385,0,0.20402970888857874,0,45,6.6,33.0,5.0,3.209361307176243,0.0,0.0,5.0,0.0,5.0,19.849433241279208,175.0,35.0,11
11_355,3,43,1.8604651162790697,16,0.9899830529775364,19,5,4.958333333333333,119.0,24.0,5.6528497366308565,6.276104903012951,155.0,24.0,6.458333333333333,24.0,290.7511885155216,4526.0,188.58333333333334,11
11_356,1,17,3.9411764705882355,0,0.2425356250363329,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11_359,2,35,3.942857142857143,0,0.23550410797680288,0,33,5.333333333333333,32.0,6.0,4.926120853842979,0.8366600265340756,3.0,6.0,0.5,6.0,68.4623984388511,459.0,76.5,11
11_36,54,130,3.5538461538461537,2,0.5291727998649166,0,74,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,11
11_380,11,135,3.762962962962963,9,0.6010861736641934,1,114,14.727272727272727,162.0,11.0,8.050973967054038,2.8284271247461903,33.0,11.0,3.0,11.0,68.65725148750263,1185.0,107.72727272727273,11
11_381,4,43,3.488372093023256,3,0.9849363775260239,4,32,7.928571428571429,111.0,14.0,3.02462421605588,7.408044335661124,76.0,14.0,5.428571428571429,14.0,292.18272921708984,3824.0,273.14285714285717,11
11_382,12,83,2.1686746987951806,16,1.2179478653229479,36,19,6.111111111111111,55.0,9.0,4.226240777701989,7.713624310270756,72.0,9.0,8.0,9.0,90.64828244986836,962.0,106.88888888888889,11
11_389,8,147,3.8503401360544216,4,0.5148978020236122,2,133,11.916666666666666,143.0,12.0,7.821396449755147,2.050498830661811,15.0,12.0,1.25,12.0,163.54083912162756,2666.0,222.16666666666666,11
11_4,4,111,3.8378378378378377,4,0.5647290668266683,2,101,6.5,39.0,6.0,4.03732584763727,1.760681686165901,9.0,6.0,1.5,6.0,77.00822466897068,520.0,86.66666666666667,11
