,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u
11_276,0.441025641025641,0.23878287777204746,0.5416666666666666,0.4114285714285714,0.07129247924862737,0.22488466803429233,0.0971653992689214,0.22460405604742845,0.0,0.3397885209001086,5.78339315130839,5.843620510600865,0.441025641025641,0.49289438308087236,0.5416666666666666,0.5915809464326647,0.07129247924862737,0.0,0.0971653992689214,2.448590122494759e-10,1.0634128852154998,0.9383472712483762,0.04714814111741476,0.19597313652161108
11_28,0.11794871794871795,0.019082001031459517,0.18333333333333332,0.04,0.0020938956761773274,0.04436045484153698,0.007035254912974701,0.05849753705550848,0.02512778034581132,0.5767472504100747,0.02916421417901047,0.0,0.11794871794871795,0.11703654911304782,0.18333333333333332,0.1800781640746641,0.0020938956761773274,0.0,0.007035254912974701,1.7055944417814547e-13,0.045003331302275545,0.0,0.007925191180819424,0.8002070564692055
11_280,0.48717948717948717,0.17998968540484786,0.5333333333333333,0.2651428571428571,0.10518836468363964,0.34905229707242974,0.09508420562893084,0.16640501756344184,0.13767956815628257,0.2703287770193047,2.403175290143271,2.3069937680243755,0.48717948717948717,0.4915503172435357,0.5333333333333333,0.5725398468322681,0.10518836468363964,0.058376027760732536,0.09508420562893084,6.68481244188701e-08,1.0439058475321208,0.9698123732363012,0.11577414625390398,0.13167756820365992
11_282,0.1076923076923077,0.013924703455389376,0.15,0.026285714285714287,0.0029361994455699226,0.08128641824686957,0.003005230710963958,0.05311573587582312,0.054193702838735196,0.5535308953180675,0.051529291774757666,0.6171195586773051,0.1076923076923077,0.11516894460592472,0.15,0.15680963725602773,0.0029361994455699226,0.0,0.003005230710963958,5.423990915076505e-18,0.24549589000431943,0.6185917323796788,0.062554253026117,0.02272683447685059
11_290,0.5435897435897435,0.17225373904074265,0.6666666666666666,0.26971428571428574,0.13039308671840158,0.34482547218491827,0.1561857081754773,0.3140481788821808,0.6952587316893619,0.5483850169678689,2.05003158720662,1.6603052856975626,0.5435897435897435,0.53553559241755,0.6666666666666666,0.6688858397792063,0.13039308671840158,0.0015670517486950967,0.1561857081754773,7.025093756548144e-10,0.8927700553038331,0.7462955386240562,0.5986380091286017,0.6090601425707669
11_291,0.7794871794871795,0.33264569365652397,0.7916666666666666,0.3942857142857143,0.32454763805934245,0.5670252336496914,0.352518345684491,0.4463524169035447,0.9819494398550533,1.4835396688624234,1.1030817022564985,1.49500025640646,0.7794871794871795,0.6220781290751057,0.7916666666666666,0.6584567689131795,0.32454763805934245,0.05189931330739637,0.352518345684491,4.2747751904622504e-05,0.7546755861833555,0.7320341895669135,0.3561067451413221,0.5346850720254945
11_293,0.41025641025641024,0.11036616812790098,0.5333333333333333,0.208,0.046202492038377924,0.38486454329881165,0.07163922152930022,0.22326921332014696,0.06024107475850395,1.187065374637788,0.18660970084803363,0.2537122880411784,0.41025641025641024,0.36783634090462314,0.5333333333333333,0.47608509516470826,0.046202492038377924,0.009689757103814403,0.07163922152930022,9.889100663539281e-07,0.31051966625396726,0.37390523705366685,0.12657726633965496,0.8432090709227616
11_294,0.40512820512820513,0.14698298091799897,0.5833333333333334,0.304,0.03588034854344484,0.3408030112161416,0.1378476430206169,0.23978053494959334,0.022493548590682703,0.39220267271896303,0.2833471162317865,0.03235336184528769,0.40512820512820513,0.4572117770990194,0.5833333333333334,0.6519594878011855,0.03588034854344484,0.0,0.1378476430206169,2.830908752180848e-18,0.37527162765637934,0.1484338082248644,0.0,0.3108473429027971
11_296,0.06666666666666667,0.008251676121712223,0.10833333333333334,0.018285714285714287,0.0,0.0,0.00122801790641802,0.024057777991532407,0.09704921350616058,0.10801754398658854,0.05617032378112097,0.05135357419399544,0.06666666666666667,0.07470418028492415,0.10833333333333334,0.12140100948853759,0.0,0.0,0.00122801790641802,0.0,0.17657889364135368,0.14612485099752023,0.2750699904585035,0.18617468553280764
11_297,0.14358974358974358,0.01444043321299639,0.21666666666666667,0.029714285714285714,0.001966823005296862,0.08562079868365292,0.005833267657091294,0.11378778040348407,0.01330000473042383,0.6195837749194475,0.03213106476614726,0.0,0.14358974358974358,0.1556337089269253,0.21666666666666667,0.23268526818636373,0.001966823005296862,6.5825160557580636e-06,0.005833267657091294,5.390802431048321e-16,0.10576401900885565,0.07549995365831444,0.0,0.5598251989959386
