,E_votes_2,E_votes_num,E_votes_3,E_votes_1,E_votes_mean,E_votes_4,E_votes_std,E_likes_num,E_likes_mean,E_likes_std,E_likes_sum,E_dislikes_num,E_dislikes_std,E_dislikes_sum,E_dislikes_mean,E_com_std,E_com_num,E_com_mean,E_com_sum,E_companyAlias,E_employee,E_first_date,E_lastParticipationDate,E_stillExists,E_churn,E_comp_short,E_uid
38,80,212,0,132,1.3773584905660377,0,0.48587303919020697,14.0,9.785714285714286,5.859621560746464,137.0,14.0,1.0919284281983377,7.0,0.5,183.26784877769586,14,180.21428571428572,2523,54e52607e4b01191dc064966,47,2015-02-12 00:00:00,2017-03-20 00:00:00,True,0,4,4_47
39,115,342,153,63,2.327485380116959,11,0.8092602563713559,19.0,9.0,8.465616732800196,171.0,19.0,2.8003759146153744,34.0,1.7894736842105263,121.36412757478342,19,118.84210526315789,2258,54e52607e4b01191dc064966,51,2015-02-26 00:00:00,2017-03-20 00:00:00,False,0,4,4_51
40,3,149,9,70,2.48993288590604,67,1.4501512021092087,21.0,9.523809523809524,6.742544383384121,200.0,21.0,5.60272042765621,65.0,3.0952380952380953,61.04627440759689,21,95.38095238095238,2003,54e52607e4b01191dc064966,52,2015-02-27 00:00:00,2017-03-20 00:00:00,True,0,4,4_52
41,0,148,8,1,3.925675675675676,139,0.3317899551979975,41.0,3.8536585365853657,3.3805397173362426,158.0,41.0,2.4504852680194773,63.0,1.5365853658536586,100.35940292816395,41,103.8780487804878,4259,54e52607e4b01191dc064966,55,2015-02-25 00:00:00,2017-03-19 00:00:00,False,1,4,4_55
42,4,52,31,1,3.1923076923076925,16,0.6579368090064202,19.0,3.6842105263157894,4.485193314042046,70.0,19.0,0.6839855680567692,7.0,0.3684210526315789,41.7011786894995,19,52.10526315789474,990,54e52607e4b01191dc064966,56,2015-02-24 00:00:00,2017-03-20 00:00:00,True,0,4,4_56
43,10,43,11,21,1.813953488372093,1,0.9064796888825419,5.0,8.0,6.855654600401044,40.0,5.0,0.8944271909999157,3.0,0.6,84.05236463062774,5,97.6,488,54e52607e4b01191dc064966,58,2015-02-24 00:00:00,2017-03-17 00:00:00,True,0,4,4_58
44,5,91,12,0,3.758241758241758,74,0.5444805749143816,5.0,4.6,4.8270073544588685,23.0,5.0,5.1478150704935,20.0,4.0,21.194338866782328,5,32.8,164,54e52607e4b01191dc064966,64,2015-02-24 00:00:00,2017-03-20 00:00:00,False,0,4,4_64
45,2,69,11,53,1.4782608695652173,3,0.9172961490510786,5.0,7.6,6.841052550594828,38.0,5.0,0.5477225575051662,2.0,0.4,53.11591098719855,5,51.6,258,54e52607e4b01191dc064966,66,2015-02-24 00:00:00,2017-03-17 14:11:50,False,1,4,4_66
46,2,69,11,53,1.4782608695652173,3,0.9172961490510786,5.0,7.6,6.841052550594828,38.0,5.0,0.5477225575051662,2.0,0.4,53.11591098719855,5,51.6,258,54e52607e4b01191dc064966,66,2015-02-24 00:00:00,2017-03-18 00:00:00,False,1,4,4_66
47,39,252,60,128,1.9285714285714286,25,1.0687787380433653,72.0,8.347222222222221,9.608036135051583,601.0,72.0,1.5783526802012886,45.0,0.625,161.25758465014516,72,108.36111111111111,7802,54e52607e4b01191dc064966,67,2015-02-24 00:00:00,2017-03-20 00:00:00,True,0,4,4_67
48,1,343,330,1,3.0233236151603498,11,0.2150303329528575,2.0,5.5,2.1213203435596424,11.0,2.0,0.7071067811865476,1.0,0.5,8.48528137423857,2,46.0,92,54e52607e4b01191dc064966,73,2015-09-22 00:00:00,2017-03-20 00:00:00,True,0,4,4_73
49,107,349,75,159,1.8051575931232091,8,0.8522295241744737,1.0,5.0,,5.0,1.0,,0.0,0.0,,1,41.0,41,54e52607e4b01191dc064966,78,2015-02-26 00:00:00,2017-03-20 00:00:00,False,0,4,4_78
